State,2007,2008,2009,2010,2011,2012,2013
Arunachal Pradesh,37617.58084,43454.78204,55801.71455,65755.26263,75705.61929,84226.43408,91086.78603
Assam,24272.69,27334.31722,31952.64008,37052.75777,40862.38071,45439.20265,51570.6045
Himachal Pradesh,51716.82557,62512.79668,71903.00665,84901.00866,94126.80341,105732.3262,117279.7215
Jammu and Kashmir,33147.57005,37282.61242,42051.63619,49809.33883,55699.39248,63231.70385,72188.65058
Manipur,25895.15937,27713.24871,30336.69696,32960.41733,37202.80642,41669.1717,45862.18046
Meghalaya,38661.0181,45590.6306,49297.93904,55895.82656,62188.52975,67946.88082,77066.87805
Mizoram,36345.41425,42510.78816,47632.16027,56394.13167,61963.55946,67583.4333,76629.99879
Nagaland,43182.68447,49636.24202,54486.67989,60238.66887,65622.94143,71447.33209,77981.10975
Sikkim,42701.39524,54259.2327,101879.057,121715.3342,139635.8803,159814.926,210810.5467
Tripura,33958.25629,38614.50925,43304.38514,49648.41234,57625.82178,64769.4162,73813.16159
Uttarakhand,48519.44426,58377.48592,72603.25657,84945.97247,97432.64987,112085.8419,129021.2892
Andhra Pradesh,44462.76371,51505.58117,57004.3105,69144.80267,77780.03054,87788.34262,98930.79915
Bihar,12214.30274,15060.57608,16998.19286,21019.48768,25107.20826,31466.31699,36456.05368
Chhattisgarh,34006.28151,40237.20834,40556.66727,47767.84683,52106.67585,59085.07621,66400.54443
Goa,124780.3201,156008.4061,172238.742,192141.0958,200248.0988,189310.0603,207269.171
Gujarat,58489.64439,64422.77049,74471.07581,88841.7439,99951.75847,111189.3214,127276.1977
Haryana,63172.85961,74727.66943,89983.46503,103134.6774,117557.9889,132280.1345,148205.902
Jharkhand,27975.43354,28843.93478,32599.71626,40674.11185,45352.43066,51269.12132,58061.11567
Karnataka,47236.86506,53569.51966,57651.22856,69410.75647,76763.79496,86863.98841,97385.88953
Kerala,51980.07352,59715.69508,67804.00725,76528.86432,88713.46047,99976.22337,114012.6998
Madhya Pradesh,23654.3367,28414.46769,32240.0178,36719.47468,42765.3516,50279.80585,59997.57829
Maharashtra,63810.1082,69229.91236,77454.02978,92383.75811,105622.8691,119274.2411,136013.46
Odisha,32269.36227,36583.2049,39620.13841,47401.24093,50818.88901,59706.11068,66522.26066
Punjab,55398.1261,62178.86599,69281.43109,77909.79695,86717.14149,96256.96517,105156.4906
Rajasthan,30404.29548,35421.55574,40088.15991,50199.18173,58921.17541,66056.03121,72802.63435
Tamil Nadu,53219.74296,60454.91351,71777.56136,86943.67882,98276.38874,109309.4005,124132.7651
Uttar Pradesh,20286.07872,23121.56202,26725.48237,30106.51299,33476.66475,37270.25306,42249.82591
West Bengal,34558.72034,39076.72609,45155.4998,51700.86711,59809.50212,68298.0818,77280.68986
Delhi,100609.4893,118449.9108,133443.374,152058.9558,175288.628,201680.0074,229911.9443
Puducherry,83926.32975,89472.97934,107511.5417,112271.7312,115784.1495,132729.1224,161934.0861
INDIA,38241.91765,43455.71378,49289.86645,58083.83802,65806.79244,74432.63766,84374.86818