State,PerCapElec
Andhra Pradesh,1156.5
Arunachal Pradesh,683.1
Assam,249.8
Bihar,133.6
Chhattisgarh,1319.6
Delhi,1586.7
Goa,2025.5
Gujarat,1663.2
Haryana,1628.3
Himachal Pradesh,1289.4
Jammu and Kashmir,1015.2
Jharkhand,790.2
Karnataka,1081.4
Kerala,593.8
Madhya Pradesh,671.5
Maharashtra,1204.4
Manipur,235.9
Meghalaya,657.6
Mizoram,506.7
Nagaland,257.2
Odisha,1145.8
Punjab,1799.0
Rajasthan,927.4
Sikkim,886.4
Tamil Nadu,1276.6
Tripura,253.8
Uttar Pradesh,449.9
Uttarakhand,1232.2
West Bengal,563.8