State,Population
Uttar Pradesh,199581477
Maharashtra,112372972
Bihar,103804637
West Bengal,91347736
Andhra Pradesh,84665533
Madhya Pradesh,72597565
Tamil Nadu,72138958
Rajasthan,68621012
Karnataka,61130704
Gujarat,60383628
Odisha,41947358
Kerala,33387677
Jharkhand,32966238
Assam,31169272
Punjab,27704236
Haryana,25353081
Chhattisgarh,25540196
Jammu and Kashmir,12548926
Uttarakhand,10116752
Himachal Pradesh,6856509
Tripura,3671032
Meghalaya,2964007
Manipur,2721756
Nagaland,1980602
Goa,1457723
Arunachal Pradesh,1382611
Mizoram,1091014
Sikkim,607688
Delhi,16753235