State,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12
Andhra Pradesh,776579,803367,819607,846267,899463,913382,959351
Arunachal Pradesh,14216,14216,16532,16532,16532,16532,16532
Assam,79355,79355,79355,79355,79355,131989,131989
Bihar,132289,132302,135514,135514,168706,169313,170053
Chhattisgarh,141191,155426,167637,180690,195812,196119,219622
Delhi,31396,32446,32446,36036,42668,42966,43387
Goa,14721,14726,14782,14782,14782,14784,14785
Gujarat,481822,491823,608908,631022,580427,603399,612387
Haryana,192221,192963,198351,199940,205028,223039,224218
Himachal Pradesh,75890,75890,78869,78869,78869,86765,128189
Jammu and Kashmir,41774,93456,41774,93456,88056,90282,90282
Jharkhand,49309,49309,49309,49309,49309,49309,49309
Karnataka,620795,638712,638890,642200,704297,810797,815156
Kerala,260589,270707,280849,291708,318059,328518,334239
Madhya Pradesh,592307,586238,596950,605745,620936,636644,655464
Maharashtra,732153,774814,793258,800375,862533,904766.1,953709
Manipur,12802,12987,13326,13396,14265,14828,14828
Meghalaya,18670,19118,20833,20833,20709,20709,20709
Mizoram,15026,15026,15141,15141,8127,8127,8127
Nagaland,14309,14309,14309,14309,14309,14309,14309
Orissa,169507,170657,170061,171156,163403,190842,222347
Punjab,305019,315536,320773,334196,347379,361642,369494
Rajasthan,493931,505797,533785,583655,658755,708851,746355
Sikkim,5156,5156,5156,5156,5156,5156,5156
Tamil Nadu,650025,668818,695565,708595,719164,744095,758442
Tripura,14238,14238,23969,24972,25668,25668,30162
Uttarakhand,66698,72437,79991,85513,87706,87706,87706
Uttar Pradesh,500560,500765,500988,502909,504208,505040,505040
West Bengal,196257,198563,199434,200701,207140,351395,407994