S.No.,State,Year,Type,Total,Electricity,Kerosene,Solar,Other_Oil,Other,No_lighting
1,Andaman & Nicobar Islands,2001,Urban,23409,22290,1014,30,10,15,50
2,Andhra Pradesh,2001,Urban,4173639,3756033,382803,15165,2942,3003,13693
3,Arunachal Pradesh,2001,Urban,48114,43025,4500,106,11,136,336
4,Assam,2001,Urban,715185,531284,178550,2451,277,1404,1219
5,Bihar,2001,Urban,1322583,783974,527516,5472,1849,1729,2043
6,Chandigarh,2001,Urban,180576,174612,5234,162,50,142,376
7,Chhattisgarh,2001,Urban,789440,654061,130556,1107,711,815,2190
8,Dadra & Nagar Haveli,2001,Urban,11190,10725,430,24,2,5,4
9,Daman & Diu,2001,Urban,12251,12044,165,1,2,6,33
10,Delhi,2001,Urban,2384621,2226863,136455,2190,1229,12584,5300
11,Goa,2001,Urban,138461,131168,6301,217,46,120,609
12,Gujarat,2001,Urban,3758028,3509549,205244,10511,2611,5684,24429
13,Haryana,2001,Urban,1075179,999224,66114,1501,1463,2286,4591
14,Himachal Pradesh,2001,Urban,143113,139369,3171,216,147,94,116
15,Jammu & Kashmir,2001,Urban,390411,382397,6147,640,485,426,316
16,Jharkhand,2001,Urban,1060178,801641,252015,2368,1762,1010,1382
17,Karnataka,2001,Urban,3556960,3220139,312305,8694,1411,2509,11902
18,Kerala,2001,Urban,1652656,1393823,249274,6892,812,1207,648
19,Lakshadweep,2001,Urban,3889,3876,11,1001,,,
20,Madhya Pradesh,2001,Urban,2794858,2578569,199632,4595,1953,3128,6981
21,Maharashtra,2001,Urban,8069526,7608033,408445,9831,4700,10355,28162
22,Manipur,2001,Urban,101302,83054,17508,213,41,224,262
23,Meghalaya,2001,Urban,90568,79835,9838,146,197,137,415
24,Mizoram,2001,Urban,81604,77051,4226,56,51,84,136
25,Nagaland,2001,Urban,66716,60265,5530,153,37,122,609
26,Orissa,2001,Urban,1087248,805451,264117,4770,661,1659,10590
27,Pondicherry,2001,Urban,136456,124731,11207,253,31,33,201
28,Punjab,2001,Urban,1489694,1437376,38821,2145,1113,2486,7753
29,Rajasthan,2001,Urban,2185591,1958462,209631,2472,2264,3940,8822
30,Sikkim,2001,Urban,13015,12636,365,5162,,,
31,Tamil Nadu,2001,Urban,5898836,5191053,657681,18255,1949,4768,25130
32,Tripura,2001,Urban,122343,105658,15921,272,55,194,243
33,Uttar Pradesh,2001,Urban,5170527,4132151,998671,12315,4769,8092,14529
34,Uttaranchal,2001,Urban,390164,354740,32679,622,237,572,1314
35,West Bengal,2001,Urban,4554045,3623207,888961,14285,4380,9123,14089
-,India,2001,Urban,53692376,47028369,6231038,128136,38259,78098,188476